State/Centre,Type,Board,Grade,Subject,Medium,Textbook Name,Chapter No.,Chapter Name,Chapter - Concept Name,Explanation,Practice,Combined,Selection process for video,Topic Name,Topic - Concept Name,Sub-Topic,Explanation,Practice,Combined,Selection process for video,Reviewed ,Comments
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,2,"Land, Soil, Water, Natural Vegetation and Wildlife Resources","Land, Soil, Water, Natural Vegetation and Wildlife Resources", ,,,,Conservation of Land Resource,Conservation of Land Resource,NA,, ,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,2,"Land, Soil, Water, Natural Vegetation and Wildlife Resources","Land, Soil, Water, Natural Vegetation and Wildlife Resources", ,,,,Conservation of Land Resource,Conservation of Land Resource,Landslides,https://diksha.gov.in/play/content/do_31257982259163136019879, ,,C5,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,2,"Land, Soil, Water, Natural Vegetation and Wildlife Resources","Land, Soil, Water, Natural Vegetation and Wildlife Resources", ,,,,Soil,Soil,NA,https://diksha.gov.in/play/content/do_31257982263420518419882, ,,C1,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,2,"Land, Soil, Water, Natural Vegetation and Wildlife Resources","Land, Soil, Water, Natural Vegetation and Wildlife Resources", ,,,,Factors of Soil Formation,Factors of Soil Formation,NA,https://diksha.gov.in/play/content/do_31257982265895321629631, ,,C1,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,2,"Land, Soil, Water, Natural Vegetation and Wildlife Resources","Land, Soil, Water, Natural Vegetation and Wildlife Resources", ,,,,Degradation of Soil and Conservation Measures,Degradation of Soil and Conservation Measures,NA,, ,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,2,"Land, Soil, Water, Natural Vegetation and Wildlife Resources","Land, Soil, Water, Natural Vegetation and Wildlife Resources", ,,,,Water,Water,NA,https://diksha.gov.in/play/content/do_31257982270434508819884, ,,C5,Reviewed ,"25 pg of Wiki source, may be good as teacher resource"
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,2,"Land, Soil, Water, Natural Vegetation and Wildlife Resources","Land, Soil, Water, Natural Vegetation and Wildlife Resources", ,,,,Problems of Water Availability,Water Scarcity,NA,https://community.ekstep.in/preview/content/do_31257982273871052829636, ,,C1,Reviewed ,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,2,"Land, Soil, Water, Natural Vegetation and Wildlife Resources","Land, Soil, Water, Natural Vegetation and Wildlife Resources", ,,,,Conservation of Water Resources,Conservation of Water Resources,NA,https://diksha.gov.in/play/content/do_31257982276080435219886, ,,C5,Reviewed ,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,2,"Land, Soil, Water, Natural Vegetation and Wildlife Resources","Land, Soil, Water, Natural Vegetation and Wildlife Resources", ,,,,Natural Vegetation and Wildlife,Natural Vegetation and Wildlife,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,2,"Land, Soil, Water, Natural Vegetation and Wildlife Resources","Land, Soil, Water, Natural Vegetation and Wildlife Resources", ,,,,Distribution of Natural Vegetation,Distribution of Natural Vegetation,NA,https://community.ekstep.in/preview/content/do_31257982283794022419890, ,,C1,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,2,"Land, Soil, Water, Natural Vegetation and Wildlife Resources","Land, Soil, Water, Natural Vegetation and Wildlife Resources", ,,,,Conservation of Natural Vegetation and Wildlife,Conservation of Natural Vegetation and Wildlife,NA,https://community.ekstep.in/preview/content/do_31257982286842265629640, ,,C1,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources,https://diksha.gov.in/play/content/do_31257982288601088019892,https://diksha.gov.in/play/content/do_31250241028780851211310, ,"C3,C4",NA,NA,NA,,,,,Reviewed ,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Types of Minerals,Types of Minerals,NA,https://diksha.gov.in/play/content/do_31257982293673574429645, ,,C1,Reviewed ,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Distribution of Minerals,Distribution of Minerals,NA,https://diksha.gov.in/play/content/do_31257982296272076829647, ,,C1,Reviewed ,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Asia,Distribution of minerals : Asia,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Europe,Distribution of minerals : Europe,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,North America,Distribution of minerals : North America,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,South America,Distribution of minerals : South America,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Africa,Distribution of minerals : Africa,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Australia,Distribution of minerals : Australia,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Antarctica,Distribution of minerals : Antarctica,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Distribution in India,Distribution of minerals in India,NA,https://diksha.gov.in/play/content/do_31257982304385433629650, ,,C1,Reviewed ,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Distribution in India,Distribution of minerals in India,Iron,https://diksha.gov.in/play/content/do_31257982308181606419902, ,,C3,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Distribution in India,Distribution of minerals in India,Bauxite,https://diksha.gov.in/play/content/do_31257982309244108819903, ,,C5,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Distribution in India,Distribution of minerals in India,Mica,https://diksha.gov.in/play/content/do_31257982313084518419905, ,,C3,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Distribution in India,Distribution of minerals in India,Copper,https://diksha.gov.in/play/content/do_31257982314001203229652, ,,C5,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Distribution in India,Distribution of minerals in India,Manganese,https://community.ekstep.in/preview/content/do_31257982317654016019906, ,,C5,Reviewed ,"This wiki resource is bit high for this grade, can be used as teacher resource"
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Distribution in India,Distribution of minerals in India,Limestone,https://community.ekstep.in/preview/content/do_31257982320252518419908, ,,C5,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Distribution in India,Distribution of minerals in India,Gold,https://community.ekstep.in/preview/content/do_31257982322464358429657, ,,C5,Reviewed ,"This wiki resource is bit high for this grade, can be used as teacher resource"
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Distribution in India,Distribution of minerals in India,Salt,https://community.ekstep.in/preview/content/do_31257982325103820819909, ,,C5,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Uses of Minerals,Uses of Minerals,NA,https://diksha.gov.in/play/content/do_31257982326483353619910, ,,C1,Reviewed ,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Conservation of Minerals,Conservation of Minerals,NA,https://diksha.gov.in/play/content/do_31257982334047846419915, ,,C1,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Power Resources,Power Resources,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Power Resources,Power Resources,Conventional Sources, ,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Power Resources,Power Resources,Firewood,https://diksha.gov.in/play/content/do_31257982339603660829665, ,,C5,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Power Resources,Power Resources,Coal,https://community.ekstep.in/preview/content/do_31257982340939776029666, ,,C5,Reviewed ,"This wiki resource is bit high for this grade, can be used as teacher resource"
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Power Resources,Power Resources,Petroleum,https://diksha.gov.in/play/content/do_31257982345006284829668, ,,C1,Reviewed ,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Power Resources,Power Resources,Natural Gas,https://diksha.gov.in/play/content/do_31257982345890201629669, ,,C5,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Power Resources,Power Resources,Hydel Power,https://community.ekstep.in/preview/content/do_31257982348643532829671, ,,C5,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Non-conventional Sources of Energy,Non-conventional Sources of Energy,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Non-conventional Sources of Energy,Non-conventional Sources of Energy,Solar energy,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Non-conventional Sources of Energy,Non-conventional Sources of Energy,Wind Energy,https://diksha.gov.in/play/content/do_31257982359810048019922, ,,C5,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Non-conventional Sources of Energy,Non-conventional Sources of Energy,Nuclear Power,https://diksha.gov.in/play/content/do_31257982362225868829678, ,,C5,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Non-conventional Sources of Energy,Non-conventional Sources of Energy,Geothermal Energy,https://diksha.gov.in/play/content/do_31257982367540838419927, ,,C5,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Non-conventional Sources of Energy,Non-conventional Sources of Energy,Tidal Energy,https://diksha.gov.in/play/content/do_31257982369027686429680, ,,C5,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,3,Mineral and Power Resources,Mineral and Power Resources, ,,,,Non-conventional Sources of Energy,Non-conventional Sources of Energy,Biogas,https://diksha.gov.in/play/content/do_31257982372296294419928, ,,C5,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,NA,NA,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,Farm System,System of Farming,NA,https://community.ekstep.in/preview/content/do_312593185123123200222872, ,,C3,Reviewed ,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,Types Of Farming,Types of Farming,NA,https://community.ekstep.in/preview/content/do_312593202250989568222892, ,,C3,Reviewed ,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,Types Of Farming,Types of Farming,Subsistence Farming, ,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,Types Of Farming,Types of Farming,Commercial Farming, ,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,Types Of Farming,Types of Farming,Major Crops,https://community.ekstep.in/preview/content/do_312593171904544768222861, ,,C3,Reviewed ,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,Types Of Farming,Types of Farming,Rice,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,Types Of Farming,Types of Farming,Wheat,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,Types Of Farming,Types of Farming,Millets,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,Types Of Farming,Types of Farming,Maize,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,Types Of Farming,Types of Farming,Cotton,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,Types Of Farming,Types of Farming,Jute,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,Types Of Farming,Types of Farming,Tea,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,Types Of Farming,Types of Farming,Coffee,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,Agricultural Development,Agricultural Development,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,Agricultural Development,Agricultural Development,A Farm in India,https://community.ekstep.in/preview/content/do_312593175714299904222864, ,,C3,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,4,Agriculture,Agriculture,,,,,Agricultural Development,Agricultural Development,A Farm in the USA, ,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,NA,NA,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,Classification Of Industries,Classification of Industries,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,Classification Of Industries,Classification of Industries,Raw Materials,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,Classification Of Industries,Classification of Industries,Size,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,Classification Of Industries,Classification of Industries,Ownership,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,Factors Affecting Location of Industries,Factors Affecting Location of Industries,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,Industrial System,Industrial System,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,Industrial Regions,Industrial Regions,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,Industrial Disaster,Industrial Disaster,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,Distribution of Major Industries,Distribution of Major Industries,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,Iron and Steel Industry,Iron and Steel Industry,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,Iron and Steel Industry,Iron and Steel Industry,Jamshedpur,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,Iron and Steel Industry,Iron and Steel Industry,Pittsburgh,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,Cotton Textile Industry,Cotton Textile Industry,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,Cotton Textile Industry,Cotton Textile Industry,Ahmedabad,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,Cotton Textile Industry,Cotton Textile Industry,Osaka,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,5,Industries,Industries,,,,,Information Technology (IT),Information Technology (IT),NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,6,Human Resources,Human Resources, ,,,,NA,NA,NA,https://diksha.gov.in/play/content/do_31257982241225113629617, ,,C5,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,6,Human Resources,Human Resources, ,,,,Distribution of Population,Distribution of Population,NA, ,,, ,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,6,Human Resources,Human Resources, ,,,,Density of Population,Density of Population,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,6,Human Resources,Human Resources, ,,,,Factors Affecting Distribution of Population,Factors affecting distribution of Population,Geographical Factors, ,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,6,Human Resources,Human Resources, ,,,,Factors Affecting Distribution of Population,Factors affecting distribution of Population,"Social, Cultural and Economic Factors", ,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,6,Human Resources,Human Resources, ,,,,Population Change,Population Change,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,6,Human Resources,Human Resources, ,,,,Patterns of Population Change,Patterns of Population Change,NA,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,6,Human Resources,Human Resources, ,,,,Population Composition,Population Composition,NA,,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,1,India – Size and Location,Size and Location of India,https://diksha.gov.in/play/content/do_31257982375720550429683, ,,C3,NA,NA,NA,,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,1,India – Size and Location,Size and Location of India, ,,,,Location,Location of India,NA,https://community.ekstep.in/preview/content/do_31257982380544819219932, ,,C3,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,1,India – Size and Location,Size and Location of India, ,,,,Size,Size of India,NA, ,,, ,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,1,India – Size and Location,Size and Location of India, ,,,,India and the World,India and the World,NA,https://diksha.gov.in/play/content/do_31257982383116288029688, ,,C5,,
,,,,,,,,,,,,,,,,,https://diksha.gov.in/play/content/do_31257982384840704029689, ,,C5,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,1,India – Size and Location,Size and Location of India, ,,,,India’s Neighbours,India’s Neighbours,NA,https://diksha.gov.in/play/content/do_31257982386145689629690, ,,C3,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,2,Physical Features of India,Physical Features of India,https://diksha.gov.in/play/content/do_31257982388459110429692,https://diksha.gov.in/play/content/do_312499748331233280210067, ,"C3,C4",NA,NA,NA,,,,,Reviewed ,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,2,Physical Features of India,Physical Features of India, ,,,,Major Physiographic Divisions,Physiographic Divisions of India,NA,, ,, ,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,2,Physical Features of India,Physical Features of India, ,,,,Major Physiographic Divisions,Physiographic Divisions of India,The Himalayan Mountains,https://diksha.gov.in/play/content/do_31257982395606630429694, ,,C5,Reviewed ,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,2,Physical Features of India,Physical Features of India, ,,,,Major Physiographic Divisions,Physiographic Divisions of India,The Northern Plain,https://community.ekstep.in/preview/content/do_31257982402565734429700, ,,C1,Reviewed ,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,2,Physical Features of India,Physical Features of India, ,,,,Major Physiographic Divisions,Physiographic Divisions of India,The Peninsular Plateau,https://diksha.gov.in/play/content/do_31257982409217638429704, ,,C3,Reviewed ,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,2,Physical Features of India,Physical Features of India, ,,,,Major Physiographic Divisions,Physiographic Divisions of India,The Indian Desert,https://community.ekstep.in/preview/content/do_31257982415232204829706, ,,C1,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,2,Physical Features of India,Physical Features of India, ,,,,Major Physiographic Divisions,Physiographic Divisions of India,The Coastal Plains,https://community.ekstep.in/preview/content/do_31257982421891481629710, ,,C3,Reviewed ,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,2,Physical Features of India,Physical Features of India, ,,,,Major Physiographic Divisions,Physiographic Divisions of India,The Islands,https://diksha.gov.in/play/content/do_31257982422880256029711, ,,C3,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,https://diksha.gov.in/play/content/do_31257982429937664019948, ,,C3,NA,NA,NA,,,,,Reviewed ,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,,,,,Drainage Systems in India,Drainage Systems in India,NA,https://diksha.gov.in/play/content/do_31257982431535104019950, ,,C3,Reviewed ,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,,,,,Drainage Systems in India,Drainage Systems in India,Drainage Patterns,https://diksha.gov.in/play/content/do_31257982433456947219952, ,,C1,Reviewed ,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,,,,,The Himalayan Rivers,Himalayan Rivers,NA,https://community.ekstep.in/preview/content/do_31257982439908147219954, ,,C3,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,, ,,,The Himalayan Rivers,Himalayan Rivers,The Indus River System,https://diksha.gov.in/play/content/do_31257982442745856019956, ,,C3,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,,,,,The Himalayan Rivers,Himalayan Rivers,The Ganga River System,https://diksha.gov.in/play/content/do_31257982448679321629723, ,,C3,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,,,,,The Himalayan Rivers,Himalayan Rivers,The Brahmaputra River System,https://diksha.gov.in/play/content/do_31257982452386201619959, ,,C3,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,,,,,The Peninsular Rivers,Peninsular Rivers of India,NA,https://diksha.gov.in/play/content/do_31257982454060646419961, , ,C3,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,,,,,The Peninsular Rivers,Peninsular Rivers of India,The Narmada Basin,https://community.ekstep.in/preview/content/do_31257982458603110419965, ,,C5,Reviewed ,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,,,,,The Peninsular Rivers,Peninsular Rivers of India,The Tapi Basin,https://community.ekstep.in/preview/content/do_31257982461946265629727, , ,C5,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,,,,,The Peninsular Rivers,Peninsular Rivers of India,The Godavari Basin,https://diksha.gov.in/play/content/do_31257982467742105629729, ,,C3,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,,,,,The Peninsular Rivers,Peninsular Rivers of India,The Mahanadi Basin,https://diksha.gov.in/play/content/do_31257982471120486419971, ,,C3,Reviewed ,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,,,,,The Peninsular Rivers,Peninsular Rivers of India,The Krishna Basin,https://diksha.gov.in/play/content/do_31257982474497228829732, ,,C3,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,,,,,The Peninsular Rivers,Peninsular Rivers of India,The Kaveri Basin,https://community.ekstep.in/preview/content/do_31257982475334451229733, ,,C5,Reviewed ,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,,,,,Lakes,Lakes of India,NA,https://diksha.gov.in/play/content/do_31257982480442982429736, ,,C3,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,,,,,Role of Rivers in the Economy,Role of Rivers in the Economy,NA,https://diksha.gov.in/play/content/do_31257982481667686419973, ,,C3,Reviewed ,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,3,Drainage,Drainage in India,,,,,River Pollution,River Pollution,NA,,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,NA,NA,NA,,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,Climatic Controls,Climatic Controls,NA,,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,Factors Affecting India’s Climate,Factors Affecting India’s Climate,NA,,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,Factors Affecting India’s Climate,Factors Affecting India’s Climate,Latitude,,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,Factors Affecting India’s Climate,Factors Affecting India’s Climate,Altitude,,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,Factors Affecting India’s Climate,Factors Affecting India’s Climate,Pressure and Winds, ,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,The Indian Monsoon,Indian Monsoon,NA,,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,The Indian Monsoon,Indian Monsoon,Inter Tropical Convergence Zone, ,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,The Indian Monsoon,Indian Monsoon,El Nino,,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,The Onset of the Monsoon and Withdrawal,Onset of the Monsoon and Withdrawal,NA,,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,The Seasons,Seasons,NA, ,,, ,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,The Seasons,Seasons,The Cold Weather Season (Winter), ,,, ,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,The Seasons,Seasons,The Hot Weather Season (Summer), ,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,The Seasons,Seasons,Advancing Monsoon (The Rainy Season), ,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,The Seasons,Seasons,Retreating/Post Monsoons (The Transition Season), ,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,Distribution of Rainfall,Distribution of Rainfall in India,NA,,,,,,
Centre,K-12,CBSE,Class 9,Geography,English,Contemporary India - I,4,Climate,Climate - India,,,,,Monsoon As a Unifying Bond,Unifying influence on Indian subcontinent,NA,,,,,,
