State/Centre,Type,Board,Grade,Subject,Medium,Textbook Name,Chapter No.,Chapter Name,Chapter - Concept Name,Explanation,Practice,Combined,Selection process for video,Topic Name,Topic - Concept Name,Sub-Topic,Explanation,Practice,Combined,Selection process for video,Reviewed ,Comments
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,5,Major Domains of The Earth,Domains of The Earth, ,,,,Hydrosphere,Hydrosphere,Oceans,,https://community.ekstep.in/preview/content/do_3125953748378009602289, ,C4,Reviewed,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,5,Major Domains of The Earth,Domains of The Earth, ,,,,Atmosphere,Atmosphere,NA,https://community.ekstep.in/preview/content/do_312531632207536128114701, , ,C3,Reviewed,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,5,Major Domains of The Earth,Domains of The Earth, ,,,,Biosphere - The Domain of Life,Biosphere,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,6,Major Landforms of The Earth,Landforms of The Earth, ,,,,NA,NA,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,6,Major Landforms of The Earth,Landforms of The Earth, ,,,,Mountains,Mountains,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,6,Major Landforms of The Earth,Landforms of The Earth, ,,,,Plateaus,Plateaus,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,6,Major Landforms of The Earth,Landforms of The Earth, ,,,,Plains,Plains,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,6,Major Landforms of The Earth,Landforms of The Earth, ,,,,Landforms and the People,Humans living on different kinds of landforms,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,7,Our Country – India,India,,, ,,NA,NA,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,7,Our Country – India,India,,,,,Locational Setting,Locational Setting,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,7,Our Country – India,India,,,,,India's Neighbours,India's Neighbours,NA,, ,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,7,Our Country – India,India,,,,,Political and Administrative Divisions,Political and Administrative Divisions,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,7,Our Country – India,India,,,,,Physical Divisions,Physical Divisions,NA,,, ,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,8,"India : Climate, Vegetation and Wildlife","Climate, Vegetation and Wildlife of India", ,,,,NA,NA,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,8,"India : Climate, Vegetation and Wildlife","Climate, Vegetation and Wildlife of India", ,,,,Cold Weather Season or Winter,Winter in India,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,8,"India : Climate, Vegetation and Wildlife","Climate, Vegetation and Wildlife of India", ,,,,Hot Weather Season or Summer,Summer in India,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,8,"India : Climate, Vegetation and Wildlife","Climate, Vegetation and Wildlife of India", ,,,,South West Monsoon Season or Rainy Season,Rainy Season in India,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,8,"India : Climate, Vegetation and Wildlife","Climate, Vegetation and Wildlife of India", ,,,,Season of Retreating Monsoons or Autumn,Autumn in India,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,8,"India : Climate, Vegetation and Wildlife","Climate, Vegetation and Wildlife of India", ,,,,Natural Vegetation,Natural Vegetation in India,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,8,"India : Climate, Vegetation and Wildlife","Climate, Vegetation and Wildlife of India", ,,,,Tropical Rain Forest,Tropical Rain Forest in India,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,8,"India : Climate, Vegetation and Wildlife","Climate, Vegetation and Wildlife of India", ,,,,Tropical Deciduous Forests,Tropical Deciduous Forests in India,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,8,"India : Climate, Vegetation and Wildlife","Climate, Vegetation and Wildlife of India", ,,,,Thorny Bushes,Thorny Bushes in India,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,8,"India : Climate, Vegetation and Wildlife","Climate, Vegetation and Wildlife of India", ,,,,Mountain Vegetation,Mountain Vegetation in India,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,8,"India : Climate, Vegetation and Wildlife","Climate, Vegetation and Wildlife of India", ,,,,Mangrove Forests,Mangrove Forests in India,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,8,"India : Climate, Vegetation and Wildlife","Climate, Vegetation and Wildlife of India", ,,,,Why Are Forests Necessary?,Importance of Forest in India,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,8,"India : Climate, Vegetation and Wildlife","Climate, Vegetation and Wildlife of India", ,,,,Wild Life,Wild Life in India,NA,, ,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,8,"India : Climate, Vegetation and Wildlife","Climate, Vegetation and Wildlife of India", ,,,,Migratory Birds,Migratory Birds in India,NA,,,,,,
