0,artifactUrl,attributions,author,concepts,contentType,createdBy,description,downloadUrl,gradeLevel,identifier,keywords,language,name,objectType,status,subject,variants,content_type,duration,title,title_lan,title_lan_confidence,
,https://www.youtube.com/embed/HUlmA44Ctkw?autoplay=1&enablejsapi=1,[Pebbles AP & TS Board Syllabus],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,Pollution Due To Urbenisation,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252953889625702423349/pollution-due-to-urbenisation_1529486727593_do_31252953889625702423349_1.0.ecar,[Class 9],do_31252953889625702423349,"[Flora &Fauna,  Clogging of Drains,  Barrier to movement of Water]",[English],Pollution Due To Urbenisation,Content,Live,Biology,"{u'spine': {u'size': 73307.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252953889625702423349/pollution-due-to-urbenisation_1529486727662_do_31252953889625702423349_1.0_spine.ecar'}}",youtube,0:09:46,Pollution Due to Urbanisation : Soil Pollutions | Biology | Class 9 | AP&TS,en,0.9620531201,
,https://www.youtube.com/embed/6_ST7yaA5Qg?autoplay=1&enablejsapi=1,[TV5 News],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,Pollution In Moosi River,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252941896681062422408/pollution-in-moosi-river_1529473379049_do_31252941896681062422408_1.0.ecar,[Class 8],do_31252941896681062422408,"[water pollution,  river moosi,  Taj mahal case study,  Biodegradable waste]",[English],Pollution In Moosi River,Content,Live,Biology,"{u'spine': {u'size': 63399.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252941896681062422408/pollution-in-moosi-river_1529473379148_do_31252941896681062422408_1.0_spine.ecar'}}",youtube,0:05:21,Musi River Pollution | TV5 Ground Report On Musi River | Telugu News | TV5 News,en,0.9413843155,
,https://www.youtube.com/embed/Mk0UgAan7AY?autoplay=1&enablejsapi=1,[YOU TUBE ExamFear Education],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,"Poly Hedrons , Non Poly Hedrons",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31253019367040614427090/poly-hedrons-non-poly-hedrons_1529565109956_do_31253019367040614427090_1.0.ecar,[Class 8],do_31253019367040614427090,"[Poly hedrons , Non poly hedrons]",[English],"Poly Hedrons , Non Poly Hedrons",Content,Live,Mathematics,"{u'spine': {u'size': 83917.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31253019367040614427090/poly-hedrons-non-poly-hedrons_1529565110020_do_31253019367040614427090_1.0_spine.ecar'}}",youtube,0:03:16,Maths Visualizing Shapes part 7 (Polyhedron and Non-Polyhedron) CBSE Class 8 Mathematics VIII,en,1,
,https://www.youtube.com/embed/Mk0UgAan7AY?autoplay=1&enablejsapi=1,[Exam Fear Education],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,Polyhedrons And Non Polyhedrons,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31253019367656652827091/polyhedrons-and-non-polyhedrons_1529565110395_do_31253019367656652827091_1.0.ecar,[Class 8],do_31253019367656652827091,"[Poly hedrons , Non poly hedrons]",[English],Polyhedrons And Non Polyhedrons,Content,Live,Mathematics,"{u'spine': {u'size': 83910.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31253019367656652827091/polyhedrons-and-non-polyhedrons_1529565110463_do_31253019367656652827091_1.0_spine.ecar'}}",youtube,0:03:16,Maths Visualizing Shapes part 7 (Polyhedron and Non-Polyhedron) CBSE Class 8 Mathematics VIII,en,1,
,https://www.youtube.com/embed/wo70d8ECEBg?autoplay=1&enablejsapi=1,[pond ecosystem],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,Pond Ecosystem,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312530973573718016110131/pond-ecosystem_1529667633733_do_312530973573718016110131_1.0.ecar,[Class 6],do_312530973573718016110131,[కొలను ఒక ఆవాసం],[English],Pond Ecosystem,Content,Live,Science,"{u'spine': {u'size': 40025.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312530973573718016110131/pond-ecosystem_1529667633830_do_312530973573718016110131_1.0_spine.ecar'}}",youtube,0:02:01,Pond Ecosystem,en,1,
,https://www.youtube.com/embed/uHdZb0LJZNQ?autoplay=1&enablejsapi=1,[YouTube],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,Pond Is A Habitat,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252896990914969611387/pond-is-a-habitat_1529477824968_do_31252896990914969611387_1.0.ecar,[Class 6],do_31252896990914969611387,"[Pond as a habitat,  pond habitat]",[English],Pond Is A Habitat,Content,Live,Science,"{u'spine': {u'size': 69909.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252896990914969611387/pond-is-a-habitat_1529477825178_do_31252896990914969611387_1.0_spine.ecar'}}",youtube,0:05:04,Pond Life,en,1,
,https://www.youtube.com/embed/DfROrUE-xEE?autoplay=1&enablejsapi=1,[Iken Edu],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,Porifera-video,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252953780709785623288/porifera-video_1529486536233_do_31252953780709785623288_1.0.ecar,[Class 9],do_31252953780709785623288,"[Porifera,  Coelenterata,  Platyhelminthes,  Nematoda,  Annelida,  Arthropoda,  Mollusca Echinodermata]",[English],Porifera-video,Content,Live,Biology,"{u'spine': {u'size': 73300.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252953780709785623288/porifera-video_1529486536319_do_31252953780709785623288_1.0_spine.ecar'}}",youtube,0:06:15,Learn Biology: Kingdom Animalia: Phylum Porifera,en,1,
,https://www.youtube.com/embed/8ecg_sq8bZA?autoplay=1&enablejsapi=1,[You Tube-Bodhaguru],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,Positive And Negative Integers,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312531001703251968211153/positive-and-negative-integers_1529666924250_do_312531001703251968211153_1.0.ecar,[Class 6],do_312531001703251968211153,[Positive and Negative integers],[English],Positive And Negative Integers,Content,Live,Mathematics,"{u'spine': {u'size': 51073.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312531001703251968211153/positive-and-negative-integers_1529666924329_do_312531001703251968211153_1.0_spine.ecar'}}",youtube,0:10:26,Maths - What are integers - English,en,1,
,https://www.youtube.com/embed/S2v9QMgEMz0?autoplay=1&enablejsapi=1,[ISRAEL Agriculture Technology],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,Poultry Form Modern Techniques,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252941888944537611862/poultry-form-modern-techniques_1529473373226_do_31252941888944537611862_1.0.ecar,[Class 8],do_31252941888944537611862,"[genetically modified food,  foreign varieties of hens,  local or country varieties of hens,  eggs incubation hen litter,  structure of egg , egg nutrients]",[English],Poultry Form Modern Techniques,Content,Live,Biology,"{u'spine': {u'size': 63458.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252941888944537611862/poultry-form-modern-techniques_1529473373286_do_31252941888944537611862_1.0_spine.ecar'}}",youtube,0:22:40,World Modern Technology Automatic POULTRY PRODUCTION,en,1,
,https://www.youtube.com/embed/Sztvjrkixzs?autoplay=1&enablejsapi=1,[Imzy All In One],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,Power Loom,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312531055947243520211333/power-loom_1529670510548_do_312531055947243520211333_1.0.ecar,[Class 8],do_312531055947243520211333,[Power loom],[English],Power Loom,Content,Live,Social Studies,"{u'spine': {u'size': 98982.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312531055947243520211333/power-loom_1529670510663_do_312531055947243520211333_1.0_spine.ecar'}}",youtube,0:01:54,Textile Powerloom Factory Cloth Making Process In Malegaon Maharashtra India [HD VIDEO 1080p],en,1,
,https://www.youtube.com/embed/0vVvj55KEmo?autoplay=1&enablejsapi=1,[youtube],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,"Practical Plant Nutrition Tips - (nitrogen, Phosphorous, And Potassium)",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252953812738048023316/practical-plant-nutrition-tips-nitrogen-phosphorous-and-potassium_1529486598697_do_31252953812738048023316_1.0.ecar,[Class 9],do_31252953812738048023316,"[Soil nutrients,  Micro and macro nutrients]",[English],"Practical Plant Nutrition Tips - (nitrogen, Phosphorous, And Potassium)",Content,Live,Biology,"{u'spine': {u'size': 73304.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252953812738048023316/practical-plant-nutrition-tips-nitrogen-phosphorous-and-potassium_1529486598772_do_31252953812738048023316_1.0_spine.ecar'}}",youtube,0:02:30,"Practical Plant Nutrition Tips - (Nitrogen, Phosphorous, and Potassium)",en,1,
,https://www.youtube.com/embed/T05C-ldqo6s?autoplay=1&enablejsapi=1,[Creative JE],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,Preamble To The Constitution Of India,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312531056398532608211355/preamble-to-the-constitution-of-india_1529670562852_do_312531056398532608211355_1.0.ecar,[Class 8],do_312531056398532608211355,[Preamble to the Constitution of India],[English],Preamble To The Constitution Of India,Content,Live,Social Studies,"{u'spine': {u'size': 98998.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312531056398532608211355/preamble-to-the-constitution-of-india_1529670562927_do_312531056398532608211355_1.0_spine.ecar'}}",youtube,0:01:21,Preamble of India Animation and Speech,en,1,
,https://www.youtube.com/embed/vANKekoTwDY?autoplay=1&enablejsapi=1,[STUDY INDIA],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,Preamble To The Constitution Of India,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312531056393183232110479/preamble-to-the-constitution-of-india_1529670562187_do_312531056393183232110479_1.0.ecar,[Class 8],do_312531056393183232110479,[Preamble to the Constitution of India],[English],Preamble To The Constitution Of India,Content,Live,Social Studies,"{u'spine': {u'size': 99007.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312531056393183232110479/preamble-to-the-constitution-of-india_1529670562261_do_312531056393183232110479_1.0_spine.ecar'}}",youtube,0:02:38,Preamble of Indian constitution|| Must Watch|| Hamara Samvidhan||,en,0.9420694709,
,https://www.youtube.com/embed/LZgvP9m6NSo?autoplay=1&enablejsapi=1,[KnowWis],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,Preamble To The Constitution Of India,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312531056389193728211354/preamble-to-the-constitution-of-india_1529670561782_do_312531056389193728211354_1.0.ecar,[Class 8],do_312531056389193728211354,[Preamble to the Constitution of India],[English],Preamble To The Constitution Of India,Content,Live,Social Studies,"{u'spine': {u'size': 98999.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312531056389193728211354/preamble-to-the-constitution-of-india_1529670561848_do_312531056389193728211354_1.0_spine.ecar'}}",youtube,0:03:50,Preamble of the Indian Constitution,en,1,
,https://www.youtube.com/embed/gY9HG8zUgOE?autoplay=1&enablejsapi=1,[makemegenius channel],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,"Precipitation,humadity,water Cycle",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312531505185177600212982/precipitationhumaditywater-cycle_1529743518012_do_312531505185177600212982_1.0.ecar,[Class 7],do_312531505185177600212982,"[PRECIPITATION, HUMADITY, WATER CYCLE]",[English],"Precipitation,humadity,water Cycle",Content,Live,Social Studies,"{u'spine': {u'size': 67882.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312531505185177600212982/precipitationhumaditywater-cycle_1529743518148_do_312531505185177600212982_1.0_spine.ecar'}}",youtube,0:06:28,Water Cycle - Animation lesson for Kids -www.makemegenius.com,en,1,
,https://www.youtube.com/embed/https://www.youtube.com/watch?v=YU0DYrU_0FM?autoplay=1&enablejsapi=1,,,[BIO41],Resource,e212acec-4c56-4dba-a807-b7d9d42e9bbb,Cell-Basic Unit of Life - laboratory,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31236538860022169623634/preparation-of-microscope-slide_1530900906774_do_31236538860022169623634_2.0.ecar,[Class 8],do_31236538860022169623634,[Learning / Study material],[English],preparation of Microscope slide,Content,Live,Biology,"{u'spine': {u'size': 327342.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31236538860022169623634/preparation-of-microscope-slide_1530900906967_do_31236538860022169623634_2.0_spine.ecar'}}",youtube,0:04:28,Preparing a microscope slide,en,1,
,https://www.youtube.com/embed/lfC19DSaA9k?autoplay=1&enablejsapi=1,[YOUTUBE],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,Preparation Of Panchagavya And Organic Pest Repellents,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252953821193011212868/preparation-of-panchagavya-and-organic-pest-repellents_1529486608734_do_31252953821193011212868_1.0.ecar,[Class 9],do_31252953821193011212868,"[Panchagavya,  Organic Farming,  Synthetic pyrithroids, Biofertilizers]",[English],Preparation Of Panchagavya And Organic Pest Repellents,Content,Live,Biology,"{u'spine': {u'size': 73309.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252953821193011212868/preparation-of-panchagavya-and-organic-pest-repellents_1529486608810_do_31252953821193011212868_1.0_spine.ecar'}}",youtube,0:06:47,Preparation of Panchagavya and organic pest repellents,en,0.9762198329,
,https://www.youtube.com/embed/RL0Lfj7nkEk?autoplay=1&enablejsapi=1,[సునీల్ కేశారి],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,Preparing Land For Farming - How To Cultivate Land For Farming - Preparation Of Soil For Agriculture,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252962484312473625126/preparing-land-for-farming-how-to-cultivate-land-for-farming-preparation-of-soil-for-agriculture_1529497162275_do_31252962484312473625126_1.0.ecar,[Class 8],do_31252962484312473625126,[నేలను సిద్ధంగా చేయడం],[English],Preparing Land For Farming - How To Cultivate Land For Farming - Preparation Of Soil For Agriculture,Content,Live,Biology,"{u'spine': {u'size': 62639.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252962484312473625126/preparing-land-for-farming-how-to-cultivate-land-for-farming-preparation-of-soil-for-agriculture_1529497162337_do_31252962484312473625126_1.0_spine.ecar'}}",youtube,0:02:31,preparing land for farming - how to cultivate land for farming - preparation of soil for agriculture,en,1,
,https://www.youtube.com/embed/MJ0GQbxRfLE?autoplay=1&enablejsapi=1,[CBSE],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,Preservation Of Food,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252896958998937611372/preservation-of-food_1529477809385_do_31252896958998937611372_1.0.ecar,[Class 6],do_31252896958998937611372,[preservation of food],[English],Preservation Of Food,Content,Live,Science,"{u'spine': {u'size': 69908.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31252896958998937611372/preservation-of-food_1529477809468_do_31252896958998937611372_1.0_spine.ecar'}}",youtube,0:04:09,Food Preservation,en,1,
,https://www.youtube.com/embed/IGyjSLNyxXs?autoplay=1&enablejsapi=1,[vnperceptions],,,Resource,ef644daf-69e6-4ed4-ae40-916c21496708,Presser Belts,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312531632223068160114703/presser-belts_1529743157475_do_312531632223068160114703_1.0.ecar,[Class 9],do_312531632223068160114703,[PRESSER BELTS],[English],Presser Belts,Content,Live,Social Studies,"{u'spine': {u'size': 96881.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312531632223068160114703/presser-belts_1529743157611_do_312531632223068160114703_1.0_spine.ecar'}}",youtube,0:04:50,Pressure Belts,en,1,
